Year,Country,code,Region,Happiness_Score,Economy,Family,Health,Freedom,Trust,Generosity,Dystopia_Residual
2018,Cambodia,KHM,Southeast Asia,4.433,0.549,1.088,0.457,0.696,0.065,0.256,1.321
2018,Cameroon,CMR,Sub-Saharan Africa,4.975,0.535,0.891,0.182,0.454,0.043,0.183,2.688
2018,Canada,CAN,North America,7.328,1.33,1.532,0.896,0.653,0.291,0.321,2.306
2018,Central African Republic,CAF,Sub-Saharan Africa,3.083,0.024,0,0.01,0.305,0.038,0.218,2.487
2018,Chad,TCD,Sub-Saharan Africa,4.301,0.358,0.907,0.053,0.189,0.06,0.181,2.553
2018,Chile,CHL,Latin America and Caribbean,6.476,1.131,1.331,0.808,0.431,0.061,0.197,2.517
2018,China,CHN,East Asia,5.246,0.989,1.142,0.799,0.597,0.103,0.029,1.586
2018,Colombia,COL,Latin America and Caribbean,6.26,0.96,1.439,0.635,0.531,0.039,0.099,2.556
2018,Congo (Brazzaville),COG,Sub-Saharan Africa,4.559,0.682,0.811,0.343,0.514,0.077,0.091,2.041
2018,Congo (Kinshasa),COG,Sub-Saharan Africa,4.245,0.069,1.136,0.204,0.312,0.052,0.197,2.274
2018,Costa Rica,CRI,Latin America and Caribbean,7.072,1.01,1.459,0.817,0.632,0.101,0.143,2.911
2018,Croatia,CRI,Central and Eastern Europe,5.321,1.115,1.161,0.737,0.38,0.039,0.12,1.769
2018,Cyprus,CYP,Western Europe,5.762,1.229,1.191,0.909,0.423,0.035,0.202,1.774
2018,Czech Republic,CZE,Central and Eastern Europe,6.711,1.233,1.489,0.854,0.543,0.034,0.064,2.494
2018,Denmark,DNK,Western Europe,7.555,1.351,1.59,0.868,0.683,0.408,0.284,2.37
2018,Dominican Republic,DOM,Latin America and Caribbean,5.302,0.982,1.441,0.614,0.578,0.106,0.12,1.461
2018,Ecuador,ECU,Latin America and Caribbean,5.973,0.889,1.33,0.736,0.556,0.12,0.114,2.228
2018,Egypt,EGY,Middle East and Northern Africa,4.419,0.885,1.025,0.553,0.312,0.107,0.092,1.444
2018,El Salvador,SLV,Latin America and Caribbean,6.167,0.806,1.231,0.639,0.461,0.082,0.065,2.884
2018,Estonia,EST,Central and Eastern Europe,5.739,1.2,1.532,0.737,0.553,0.174,0.086,1.457
2018,Ethiopia,ETH,Sub-Saharan Africa,4.35,0.308,0.95,0.391,0.452,0.146,0.22,1.884
2018,Finland,FIN,Western Europe,7.632,1.305,1.592,0.874,0.681,0.393,0.202,2.595
2018,France,FRA,Western Europe,6.489,1.293,1.466,0.908,0.52,0.176,0.098,2.028
2018,Gabon,GAB,Sub-Saharan Africa,4.758,1.036,1.164,0.404,0.356,0.052,0.032,1.715
2018,Georgia,GEO,Commonwealth of Independent States,4.34,0.853,0.592,0.643,0.375,0.215,0.038,1.624
2018,Germany,DEU,Western Europe,6.965,1.34,1.474,0.861,0.586,0.28,0.273,2.151
2018,Ghana,GHA,Sub-Saharan Africa,4.657,0.592,0.896,0.337,0.499,0.029,0.212,2.093
2018,Greece,GRC,Western Europe,5.358,1.154,1.202,0.879,0.131,0.044,0,1.948
2018,Guatemala,GTM,Latin America and Caribbean,6.382,0.781,1.268,0.608,0.604,0.071,0.179,2.871
2018,Guinea,GIN,Sub-Saharan Africa,3.964,0.344,0.792,0.211,0.394,0.094,0.185,1.943
2018,Haiti,HTI,Latin America and Caribbean,3.582,0.315,0.714,0.289,0.025,0.104,0.392,1.744
2018,Honduras,HND,Latin America and Caribbean,5.504,0.62,1.205,0.622,0.459,0.074,0.197,2.328
2018,Hong Kong,HKG,East Asia,5.43,1.405,1.29,1.03,0.524,0.291,0.246,0.644
2018,Hungary,HUN,Central and Eastern Europe,5.62,1.171,1.401,0.732,0.259,0.022,0.061,1.974
2018,Iceland,ISL,Western Europe,7.495,1.343,1.644,0.914,0.677,0.138,0.353,2.426
2018,India,IND,South Asia,4.19,0.721,0.747,0.485,0.539,0.093,0.172,1.432
2018,Indonesia,IDN,Southeast Asia,5.093,0.899,1.215,0.522,0.538,0.018,0.484,1.417
2018,Iran,IDN,Middle East and Northern Africa,4.707,1.059,0.771,0.691,0.459,0.129,0.282,1.315
2018,Iraq,IRQ,Middle East and Northern Africa,4.456,1.01,0.971,0.536,0.304,0.095,0.148,1.393
2018,Ireland,IRL,Western Europe,6.977,1.448,1.583,0.876,0.614,0.306,0.307,1.844
2018,Israel,ISR,Middle East and Northern Africa,6.814,1.301,1.559,0.883,0.533,0.272,0.354,2.817
2018,Italy,ITA,Western Europe,6,1.264,1.501,0.946,0.281,0.028,0.137,1.843
2018,Ivory Coast,ITA,Sub-Saharan Africa,4.671,0.541,0.872,0.08,0.467,0.103,0.146,2.463
2018,Jamaica,JAM,Latin America and Caribbean,5.89,0.819,1.493,0.693,0.575,0.031,0.096,2.182
2018,Japan,JPN,East Asia,5.915,1.294,1.462,0.988,0.553,0.15,0.079,1.39
2018,Jordan,JOR,Middle East and Northern Africa,5.161,0.822,1.265,0.645,0.468,0.134,0.13,1.697
2018,Kazakhstan,KAZ,Commonwealth of Independent States,5.79,1.143,1.516,0.631,0.454,0.121,0.148,1.778
2018,Kenya,KEN,Sub-Saharan Africa,4.41,0.493,1.048,0.454,0.504,0.055,0.352,1.503
2018,Kosovo,PRK,Central and Eastern Europe,5.662,0.855,1.23,0.578,0.448,0.023,0.274,2.255
2018,Kuwait,KWT,Middle East and Northern Africa,6.083,1.474,1.301,0.675,0.554,0.106,0.167,1.805
2018,Kyrgyzstan,KGZ,Commonwealth of Independent States,5.131,0.53,1.416,0.594,0.54,0.035,0.281,1.736
2018,Laos,LAO,Southeast Asia,4.623,0.72,1.034,0.441,0.626,0.174,0.23,1.399
2018,Latvia,LVA,Central and Eastern Europe,5.933,1.148,1.454,0.671,0.363,0.066,0.092,2.139
2018,Lebanon,LBN,Middle East and Northern Africa,5.358,0.965,1.179,0.785,0.503,0.136,0.214,1.771
2018,Lesotho,LSO,Sub-Saharan Africa,3.808,0.472,1.215,0.079,0.423,0.112,0.116,1.392
2018,Liberia,LBR,Sub-Saharan Africa,3.495,0.076,0.858,0.267,0.419,0.03,0.206,1.64
2018,Libya,LBY,Middle East and Northern Africa,5.566,0.985,1.35,0.553,0.496,0.148,0.116,1.918
2018,Lithuania,LTU,Central and Eastern Europe,5.952,1.197,1.527,0.716,0.35,0.006,0.026,2.13
2018,Luxembourg,LUX,Western Europe,6.91,1.576,1.52,0.896,0.632,0.321,0.196,1.769
2018,Macedonia,MAC,Central and Eastern Europe,5.185,0.959,1.239,0.691,0.394,0.052,0.173,1.675
2018,Madagascar,MDG,Sub-Saharan Africa,3.774,0.262,0.908,0.402,0.221,0.049,0.155,1.778
2018,Malawi,MWI,Sub-Saharan Africa,3.587,0.186,0.541,0.306,0.531,0.08,0.21,1.732
2018,Malaysia,MYS,Southeast Asia,6.322,1.161,1.258,0.669,0.356,0.059,0.311,2.507
2018,Mali,MLI,Sub-Saharan Africa,4.447,0.37,1.233,0.152,0.367,0.056,0.139,2.13
2018,Malta,MLT,Western Europe,6.627,1.27,1.525,0.884,0.645,0.142,0.376,1.784
2018,Mauritania,MRT,Sub-Saharan Africa,4.356,0.557,1.245,0.292,0.129,0.093,0.134,1.905
2018,Mauritius,MUS,Sub-Saharan Africa,5.891,1.09,1.387,0.684,0.584,0.05,0.245,1.851
2018,Mexico,MEX,Latin America and Caribbean,6.488,1.038,1.252,0.761,0.479,0.095,0.069,2.795
2018,Moldova,FSM,Commonwealth of Independent States,5.64,0.657,1.301,0.62,0.232,0,0.171,2.659
2018,Mongolia,MNG,East Asia,5.125,0.914,1.517,0.575,0.395,0.032,0.253,1.438
2018,Montenegro,MNE,Central and Eastern Europe,5.347,1.017,1.279,0.729,0.259,0.081,0.111,1.87
2018,Morocco,MAR,Middle East and Northern Africa,5.254,0.779,0.797,0.669,0.46,0.074,0.026,2.448
2018,Mozambique,MOZ,Sub-Saharan Africa,4.417,0.198,0.902,0.173,0.531,0.158,0.206,2.249
2018,Myanmar,MMR,Southeast Asia,4.308,0.682,1.174,0.429,0.58,0.178,0.598,0.667
2018,Namibia,NAM,Sub-Saharan Africa,4.441,0.874,1.281,0.365,0.519,0.064,0.051,1.287
2018,Nepal,NPL,South Asia,4.88,0.425,1.228,0.539,0.526,0.078,0.302,1.782
2018,Netherlands,NLD,Western Europe,7.441,1.361,1.488,0.878,0.638,0.295,0.333,2.448
2018,New Zealand,NZL,Australia and New Zealand,7.324,1.268,1.601,0.876,0.669,0.389,0.365,2.156
2018,Nicaragua,NIC,Latin America and Caribbean,6.141,0.668,1.319,0.7,0.527,0.128,0.208,2.59
2018,Niger,NER,Sub-Saharan Africa,4.166,0.131,0.867,0.221,0.39,0.099,0.175,2.283
2018,Nigeria,NGA,Sub-Saharan Africa,5.155,0.689,1.172,0.048,0.462,0.032,0.201,2.552
2018,Northern Cyprus,NFK,Central and Eastern Europe,5.835,1.229,1.211,0.909,0.495,0.154,0.179,1.659
2018,Norway,NOR,Western Europe,7.594,1.456,1.582,0.861,0.686,0.34,0.286,2.383
2018,Pakistan,PAK,South Asia,5.472,0.652,0.81,0.424,0.334,0.113,0.216,2.923
2018,Palestinian Territories,PLW,Middle East and Northern Africa,4.743,0.642,1.217,0.602,0.266,0.076,0.086,1.853
2018,Panama,PAN,Latin America and Caribbean,6.43,1.112,1.438,0.759,0.597,0.063,0.125,2.336
2018,Paraguay,PRY,Latin America and Caribbean,5.681,0.835,1.522,0.615,0.541,0.074,0.162,1.932
2018,Peru,PER,Latin America and Caribbean,5.663,0.934,1.249,0.674,0.53,0.034,0.092,2.151
2018,Philippines,PHL,Southeast Asia,5.524,0.775,1.312,0.513,0.643,0.105,0.12,2.056
2018,Poland,POL,Central and Eastern Europe,6.123,1.176,1.448,0.781,0.546,0.064,0.108,2.002
2018,Portugal,PRT,Western Europe,5.41,1.188,1.429,0.884,0.562,0.017,0.055,1.276
2018,Qatar,QAT,Middle East and Northern Africa,6.374,1.649,1.303,0.748,0.654,0.171,0.256,1.593
2018,Romania,ROU,Central and Eastern Europe,5.945,1.116,1.219,0.726,0.528,0.001,0.088,2.269
2018,Russia,RUS,Commonwealth of Independent States,5.81,1.151,1.479,0.599,0.399,0.025,0.065,2.091
2018,Rwanda,RWA,Sub-Saharan Africa,3.408,0.332,0.896,0.4,0.636,0.444,0.2,0.5
2018,Saudi Arabia,SAU,Middle East and Northern Africa,6.371,1.379,1.331,0.633,0.509,0.127,0.098,2.293
2018,Senegal,SEN,Sub-Saharan Africa,4.631,0.429,1.117,0.433,0.406,0.082,0.138,2.026
2018,Serbia,SRB,Central and Eastern Europe,5.398,0.975,1.369,0.685,0.288,0.043,0.134,1.905
2018,Sierra Leone,SLE,Sub-Saharan Africa,4.571,0.256,0.813,0,0.355,0.053,0.238,2.855
2018,Singapore,SGP,Southeast Asia,6.343,1.529,1.451,1.008,0.631,0.457,0.261,1.005
2018,Slovakia,SVK,Central and Eastern Europe,6.173,1.21,1.537,0.776,0.354,0.014,0.118,2.165
2018,Slovenia,SVN,Central and Eastern Europe,5.948,1.219,1.506,0.856,0.633,0.051,0.16,1.522
2018,Somalia,SOM,Sub-Saharan Africa,4.982,0,0.712,0.115,0.674,0.282,0.238,2.961
2018,South Africa,ZAF,Sub-Saharan Africa,4.724,0.94,1.41,0.33,0.516,0.056,0.103,1.368
2018,South Korea,SGS,East Asia,5.875,1.266,1.204,0.955,0.244,0.051,0.175,1.98
2018,South Sudan,SSD,Sub-Saharan Africa,3.254,0.337,0.608,0.177,0.112,0.106,0.224,1.691
2018,Spain,ESP,Western Europe,6.31,1.251,1.538,0.965,0.449,0.074,0.142,1.892
2018,Sri Lanka,LKA,South Asia,4.471,0.918,1.314,0.672,0.585,0.05,0.307,0.624
2018,Sudan,SDN,Sub-Saharan Africa,4.139,0.605,1.24,0.312,0.016,0.082,0.134,1.75
2018,Sweden,SWE,Western Europe,7.314,1.355,1.501,0.913,0.659,0.383,0.285,2.217
2018,Switzerland,CHE,Western Europe,7.487,1.42,1.549,0.927,0.66,0.357,0.256,2.32
2018,Syria,SYR,Middle East and Northern Africa,3.462,0.689,0.382,0.539,0.088,0.144,0.376,1.244
2018,Taiwan,TWN,East Asia,6.441,1.365,1.436,0.857,0.418,0.078,0.151,2.136
2018,Tajikistan,TJK,Commonwealth of Independent States,5.199,0.474,1.166,0.598,0.292,0.034,0.187,2.248
2018,Tanzania,TZA,Sub-Saharan Africa,3.303,0.455,0.991,0.381,0.481,0.097,0.27,0.628
2018,Thailand,THA,Southeast Asia,6.072,1.016,1.417,0.707,0.637,0.029,0.364,1.902
2018,Togo,TGO,Sub-Saharan Africa,3.999,0.259,0.474,0.253,0.434,0.101,0.158,2.319
2018,Trinidad and Tobago,TTO,Latin America and Caribbean,6.192,1.223,1.492,0.564,0.575,0.019,0.171,2.148
2018,Tunisia,TUN,Middle East and Northern Africa,4.592,0.9,0.906,0.69,0.271,0.063,0.04,1.722
2018,Turkey,TUR,Middle East and Northern Africa,5.483,1.148,1.38,0.686,0.324,0.109,0.106,1.729
2018,Turkmenistan,TKM,Commonwealth of Independent States,5.636,1.016,1.533,0.517,0.417,0.037,0.199,1.918
2018,Uganda,UGA,Sub-Saharan Africa,4.161,0.322,1.09,0.237,0.45,0.061,0.259,1.742
2018,Ukraine,UKR,Commonwealth of Independent States,4.103,0.793,1.413,0.609,0.163,0.011,0.187,0.927
2018,United Arab Emirates,ARE,Middle East and Northern Africa,6.774,2.096,0.776,0.67,0.284,N/A,0.186,2.096
2018,United Kingdom,GBR,Western Europe,7.19,1.244,1.433,0.888,0.464,0.082,0.262,1.912
2018,United States,USA,North America,6.886,1.398,1.471,0.819,0.547,0.133,0.291,2.227
2018,Uruguay,URY,Latin America and Caribbean,6.379,1.093,1.459,0.771,0.625,0.155,0.13,2.147
2018,Uzbekistan,UZB,Commonwealth of Independent States,6.096,0.719,1.584,0.605,0.724,0.259,0.328,1.877
2018,Venezuela,VEN,Latin America and Caribbean,4.806,0.996,1.469,0.657,0.133,0.052,0.056,1.442
2018,Vietnam,VNM,Southeast Asia,5.103,0.715,1.365,0.702,0.618,0.079,0.177,1.447
2018,Yemen,YEM,Middle East and Northern Africa,3.355,0.442,1.073,0.343,0.244,0.064,0.083,1.106
2018,Zambia,ZMB,Sub-Saharan Africa,4.377,0.562,1.047,0.295,0.503,0.082,0.221,1.667
2018,Zimbabwe,ZWE,Sub-Saharan Africa,3.692,0.357,1.094,0.248,0.406,0.099,0.132,1.356
